CC,Player name,Team name,eDPI,DPI,Hz,Windows sensitivity,sensitivity,zoom_sensitivity_ratio,m_pitch,m_yaw,Mouse acceleration,Mouse,Mousepad
UA,starix,Natus Vincere*,1040,400,1000,,2.6,1,0.022,0.022,0,SteelSeries Kana,SteelSeries QcK+
US,ptr,NRG eSports,1040,400,,6,2.6,1,0.022,0.022,0,Logitech G400s,SteelSeries QcK+
SE,pyth,Ninjas in Pyjamas,1040,400,1000,6,2.6,1,0.022,0.022,0,Zowie ZA13 [BenQ],SteelSeries QcK Heavy
FR,GMX,,1035,450,500,6,2.3,1,0.022,0.022,0,Zowie EC1,Razer Goliathus Speed
FR,Uzzziii,,1350,450,500,6,3,1,0.022,0.0165,0,Razer DeathAdder Chroma,SteelSeries QcK Heavy
DE,smn,,1012.5,450,1000,6,2.25,1,0.022,0.022,0,,
FR,kioShiMa,FaZe Clan,1000,400,1000,6,2.5,1,0.022,0.022,0,Zowie ZA12,Zowie G-SR
BE,ScreaM,G2 Esports,1000,400,500,5,2.5,1,0.022,0.022,0,FinalMouse [Scream One],SteelSeries QcK Heavy
SE,pauf,,1000,500,1000,6,2,1,0.022,0.022,0,SteelSeries Rival [White],SteelSeries QcK+
RU,Dosia,Gambit Gaming,1000,400,500,6,2.5,0.8,0.022,0.022,0,SteelSeries Kinzu [Red],Zowie G-SR [Dosia]
DK,Friis,Heroic*,1000,400,500,6,2.5,1,0.022,0.022,0,SteelSeries Rival,Mionix Sargas 450 SK
SE,pronax,GODSENT,1000,400,1000,6,2.5,1,0.022,0.022,0,Zowie EC?,SteelSeries QcK Heavy
DK,aizy,FaZe Clan,1000,400,,6,2.5,1.1,0.022,0.022,0,Zowie FK1,Corsair MM200 XL
BR,fer,SK Gaming,1000,400,,6,2.5,1,0.022,0.022,0,SteelSeries Rival [Fade],Mionix Sargas 450 SK
DK,cadiaN,Heroic,1000,400,1000,6,2.5,1,0.022,0.022,0,Logitech G900,SteelSeries QcK Heavy
